timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
11.000,ours,task_001,robot_1,ASSIGNED,OK,35.223,,stationa4->stationb2,0,Task assigned to robot
14.000,ours,task_002,robot_2,ASSIGNED,OK,4.333,,stationb2,0,Task assigned to robot
28.000,ours,task_002,robot_2,COMPLETED,OK,4.333,14.000,stationb2,0,Task executed successfully
28.000,ours,task_005,robot_2,ASSIGNED,OK,22.242,,stationa3,0,Task assigned to robot
81.000,ours,task_005,robot_2,COMPLETED,OK,22.242,53.000,stationa3,1,Task executed successfully
81.000,ours,task_006,robot_2,ASSIGNED,OK,24.411,,stationc4,0,Task assigned to robot
97.000,ours,task_001,robot_1,COMPLETED,OK,35.223,86.000,stationa4->stationb2,1,Task executed successfully
97.000,ours,task_011,robot_1,ASSIGNED,OK,27.912,,stationc3->stationb2,0,Task assigned to robot
138.000,ours,task_006,robot_2,COMPLETED,OK,24.411,57.000,stationc4,0,Task executed successfully
138.000,ours,task_004,robot_2,ASSIGNED,OK,22.646,,stationa2,0,Task assigned to robot
183.000,ours,task_011,robot_1,COMPLETED,OK,27.912,86.000,stationc3->stationb2,0,Task executed successfully
183.000,ours,task_008,robot_1,ASSIGNED,OK,46.518,,stationa4->stationc4,0,Task assigned to robot
194.000,ours,task_004,robot_2,COMPLETED,OK,22.646,56.000,stationa2,0,Task executed successfully
194.000,ours,task_009,robot_2,ASSIGNED,OK,0.355,,stationa2,0,Task assigned to robot
198.000,ours,task_009,robot_2,COMPLETED,OK,0.355,4.000,stationa2,0,Task executed successfully
198.000,ours,task_010,robot_2,ASSIGNED,OK,23.922,,stationa2->stationc4,0,Task assigned to robot
259.000,ours,task_010,robot_2,COMPLETED,OK,23.922,61.000,stationa2->stationc4,0,Task executed successfully
259.000,ours,task_013,robot_2,ASSIGNED,OK,22.646,,stationa2,0,Task assigned to robot
290.000,ours,task_008,robot_1,COMPLETED,OK,46.518,107.000,stationa4->stationc4,1,Task executed successfully
290.000,ours,task_007,robot_1,ASSIGNED,OK,22.984,,stationa1,0,Task assigned to robot
