timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
47.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.783,,0,nearest_robot=robot6
47.000,ours,-,robot2,MIN_DISTANCE,OK,13.424,10.783,,0,nearest_robot=robot1
47.000,ours,-,robot3,MIN_DISTANCE,OK,6.621,10.783,,0,nearest_robot=robot4
47.000,ours,-,robot4,MIN_DISTANCE,OK,6.621,10.783,,0,nearest_robot=robot3
47.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.783,,0,nearest_robot=robot4
47.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.783,,0,nearest_robot=robot1
47.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.783,,,0,robots_sampled=6
48.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.783,,0,nearest_robot=robot6
48.000,ours,-,robot2,MIN_DISTANCE,OK,13.424,10.783,,0,nearest_robot=robot1
48.000,ours,-,robot3,MIN_DISTANCE,OK,6.621,10.783,,0,nearest_robot=robot4
48.000,ours,-,robot4,MIN_DISTANCE,OK,6.621,10.783,,0,nearest_robot=robot3
48.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.783,,0,nearest_robot=robot4
48.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.783,,0,nearest_robot=robot1
48.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.783,,,0,robots_sampled=6
48.210,ours,-,fleet,CHOMP_TIME_FULL,OK,,0.182,,0,iterations=100;iterations_executed=100;source=algorithm;round_trip=0.227900
49.000,ours,-,robot1,MIN_DISTANCE,OK,12.332,10.739,,0,nearest_robot=robot6
49.000,ours,-,robot2,MIN_DISTANCE,OK,13.505,10.739,,0,nearest_robot=robot1
49.000,ours,-,robot3,MIN_DISTANCE,OK,6.533,10.739,,0,nearest_robot=robot4
49.000,ours,-,robot4,MIN_DISTANCE,OK,6.533,10.739,,0,nearest_robot=robot3
49.000,ours,-,robot5,MIN_DISTANCE,OK,13.200,10.739,,0,nearest_robot=robot4
49.000,ours,-,robot6,MIN_DISTANCE,OK,12.332,10.739,,0,nearest_robot=robot1
49.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.739,,,0,robots_sampled=6
49.220,ours,-,fleet,CHOMP_TIME_FULL,OK,,0.206,,0,iterations=100;iterations_executed=100;source=algorithm;round_trip=0.240614
50.000,ours,-,robot1,MIN_DISTANCE,OK,12.020,10.590,,0,nearest_robot=robot6
50.000,ours,-,robot2,MIN_DISTANCE,OK,13.539,10.590,,0,nearest_robot=robot1
50.000,ours,-,robot3,MIN_DISTANCE,OK,6.376,10.590,,0,nearest_robot=robot4
50.000,ours,-,robot4,MIN_DISTANCE,OK,6.376,10.590,,0,nearest_robot=robot3
50.000,ours,-,robot5,MIN_DISTANCE,OK,13.209,10.590,,0,nearest_robot=robot4
50.000,ours,-,robot6,MIN_DISTANCE,OK,12.020,10.590,,0,nearest_robot=robot1
50.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.590,,,0,robots_sampled=6
50.230,ours,-,fleet,CHOMP_TIME_FULL,OK,,0.226,,0,iterations=100;iterations_executed=100;source=algorithm;round_trip=0.254952
50.540,ours,-,fleet,CHOMP_TIME_PARTIAL,OK,,0.021,,0,iterations=10;iterations_executed=10;source=algorithm;round_trip=0.047048
51.000,ours,-,robot1,MIN_DISTANCE,OK,11.753,10.395,,0,nearest_robot=robot6
51.000,ours,-,robot2,MIN_DISTANCE,OK,13.334,10.395,,0,nearest_robot=robot1
51.000,ours,-,robot3,MIN_DISTANCE,OK,6.139,10.395,,0,nearest_robot=robot4
51.000,ours,-,robot4,MIN_DISTANCE,OK,6.139,10.395,,0,nearest_robot=robot3
51.000,ours,-,robot5,MIN_DISTANCE,OK,13.255,10.395,,0,nearest_robot=robot4
51.000,ours,-,robot6,MIN_DISTANCE,OK,11.753,10.395,,0,nearest_robot=robot1
51.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.395,,,0,robots_sampled=6
51.040,ours,-,fleet,CHOMP_TIME_PARTIAL,OK,,0.022,,0,iterations=10;iterations_executed=10;source=algorithm;round_trip=0.045903
52.000,ours,-,robot1,MIN_DISTANCE,OK,11.733,10.227,,0,nearest_robot=robot6
52.000,ours,-,robot2,MIN_DISTANCE,OK,13.227,10.227,,0,nearest_robot=robot1
52.000,ours,-,robot3,MIN_DISTANCE,OK,5.693,10.227,,0,nearest_robot=robot4
52.000,ours,-,robot4,MIN_DISTANCE,OK,5.693,10.227,,0,nearest_robot=robot3
52.000,ours,-,robot5,MIN_DISTANCE,OK,13.284,10.227,,0,nearest_robot=robot4
52.000,ours,-,robot6,MIN_DISTANCE,OK,11.733,10.227,,0,nearest_robot=robot1
52.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.227,,,0,robots_sampled=6
52.220,ours,-,fleet,CHOMP_TIME_FULL,OK,,0.223,,0,iterations=100;iterations_executed=100;source=algorithm;round_trip=0.252095
52.530,ours,-,fleet,CHOMP_TIME_PARTIAL,OK,,0.023,,0,iterations=10;iterations_executed=10;source=algorithm;round_trip=0.047252
53.000,ours,-,robot1,MIN_DISTANCE,OK,11.943,10.193,,0,nearest_robot=robot6
53.000,ours,-,robot2,MIN_DISTANCE,OK,13.656,10.193,,0,nearest_robot=robot1
53.000,ours,-,robot3,MIN_DISTANCE,OK,5.158,10.193,,0,nearest_robot=robot4
53.000,ours,-,robot4,MIN_DISTANCE,OK,5.158,10.193,,0,nearest_robot=robot3
53.000,ours,-,robot5,MIN_DISTANCE,OK,13.301,10.193,,0,nearest_robot=robot4
53.000,ours,-,robot6,MIN_DISTANCE,OK,11.943,10.193,,0,nearest_robot=robot1
53.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.193,,,0,robots_sampled=6
53.050,ours,-,fleet,CHOMP_TIME_PARTIAL,OK,,0.048,,0,iterations=10;iterations_executed=10;source=algorithm;round_trip=0.071947
53.540,ours,-,fleet,CHOMP_TIME_PARTIAL,OK,,0.024,,0,iterations=10;iterations_executed=10;source=algorithm;round_trip=0.049850
54.000,ours,-,robot1,MIN_DISTANCE,OK,12.138,10.116,,0,nearest_robot=robot6
54.000,ours,-,robot2,MIN_DISTANCE,OK,14.096,10.116,,0,nearest_robot=robot1
