timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
158.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
158.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
158.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
158.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
158.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
158.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
159.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
159.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
159.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
159.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
159.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
159.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
160.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
160.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
160.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
160.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
160.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
160.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
161.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
161.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
161.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
161.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
161.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
161.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
162.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
162.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
162.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
162.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
162.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
162.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
163.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
163.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
163.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
163.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
163.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
163.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
164.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
164.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
164.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
164.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
164.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
164.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
165.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
165.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
165.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
165.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
165.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
165.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
166.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
166.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
166.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
166.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
166.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
166.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
167.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
167.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
167.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
167.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
167.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
167.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
168.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
168.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
168.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
168.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
168.000,ours,-,robot6,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot1
168.000,ours,-,fleet,MIN_DISTANCE_AVG,OK,10.064,,,0,robots_sampled=5
169.000,ours,-,robot1,MIN_DISTANCE,OK,12.416,10.064,,0,nearest_robot=robot6
169.000,ours,-,robot2,MIN_DISTANCE,OK,12.510,10.064,,0,nearest_robot=robot1
169.000,ours,-,robot3,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot4
169.000,ours,-,robot4,MIN_DISTANCE,OK,6.490,10.064,,0,nearest_robot=robot3
