algo,fleet,scenario,seed,run_ts,completed_total,collision_tasks,collision_rate_pct
multi_chomp,r2,grouped,15,20260916_085832,9,2,22.22222222222222
multi_chomp,r2,grouped,42,20260916_084835,10,0,0.0
multi_chomp,r2,grouped,7,20260916_103940,5,1,20.0
multi_chomp,r4,grouped,15,20260916_060035,13,6,46.15384615384615
multi_chomp,r4,grouped,42,20260916_071152,13,7,53.84615384615385
multi_chomp,r4,grouped,7,20260916_065705,10,7,70.0
multi_chomp,r6,dynamic,15,20260918_064834,8,1,12.5
multi_chomp,r6,dynamic,42,20260918_124903,9,3,33.33333333333333
multi_chomp,r6,dynamic,7,20260918_124215,9,4,44.44444444444444
multi_chomp,r6,grouped,15,20260915_054841,10,2,20.0
multi_chomp,r6,grouped,42,20260915_045648,10,4,40.0
multi_chomp,r6,grouped,7,20260915_053407,7,2,28.57142857142857
multi_chomp,r6,mixed,15,20260915_030339,14,4,28.57142857142857
multi_chomp,r6,mixed,42,20260915_043011,9,3,33.33333333333333
multi_chomp,r6,mixed,7,20260915_032057,11,5,45.45454545454545
multi_chomp,r6,random,15,20260914_140147,15,4,26.666666666666668
multi_chomp,r6,random,42,20260914_112709,12,0,0.0
multi_chomp,r6,random,7,20260914_124936,13,5,38.46153846153847
rolling_chomp,r2,grouped,15,20260916_091311,9,3,33.33333333333333
rolling_chomp,r2,grouped,42,20260916_100139,8,0,0.0
rolling_chomp,r2,grouped,7,20260916_104550,7,2,28.57142857142857
rolling_chomp,r4,grouped,15,20260916_064128,9,4,44.44444444444444
rolling_chomp,r4,grouped,42,20260916_072158,15,7,46.666666666666664
rolling_chomp,r4,grouped,7,20260916_063447,14,9,64.28571428571429
rolling_chomp,r6,dynamic,15,20260918_140655,15,4,26.666666666666668
rolling_chomp,r6,dynamic,42,20260918_135848,14,5,35.714285714285715
rolling_chomp,r6,grouped,15,20260915_060205,0,0,0.0
rolling_chomp,r6,grouped,42,20260915_050758,14,8,57.14285714285714
rolling_chomp,r6,grouped,7,20260915_052552,13,4,30.76923076923077
rolling_chomp,r6,mixed,15,20260915_031228,13,3,23.076923076923077
rolling_chomp,r6,mixed,42,20260915_033748,13,3,23.076923076923077
rolling_chomp,r6,mixed,7,20260915_032717,15,9,60.0
rolling_chomp,r6,random,15,20260914_141007,14,1,7.142857142857142
rolling_chomp,r6,random,42,20260914_123044,0,0,0.0
rolling_chomp,r6,random,42,20260914_123348,12,1,8.333333333333332
rolling_chomp,r6,random,7,20260914_124309,14,2,14.285714285714285
