algo,fleet,scenario,n_runs,completed_total,collision_tasks_total,collision_rate_mean_pct,collision_rate_std_pct,collision_rate_ci95_pct,runs_with_collisions
multi_chomp,r2,grouped,3,24,3,14.074074074074074,12.239045660635782,30.403474881042808,2
multi_chomp,r4,grouped,3,36,20,56.666666666666664,12.170712088518787,30.23372487757047,3
multi_chomp,r6,dynamic,3,26,8,30.09259259259259,16.21692582234907,40.285077003455825,3
multi_chomp,r6,grouped,3,27,8,29.523809523809522,10.033955955097847,24.925728385791473,3
multi_chomp,r6,mixed,3,34,12,35.78643578643578,8.70477987408697,21.623871957436762,3
multi_chomp,r6,random,3,40,9,21.709401709401714,19.704145302435627,48.947810422981874,2
rolling_chomp,r2,grouped,3,24,5,20.634920634920633,18.02828046285801,44.784731375242295,2
rolling_chomp,r4,grouped,3,38,20,51.798941798941804,10.870794968793609,27.004551738351307,3
rolling_chomp,r6,dynamic,2,29,9,31.19047619047619,6.397632782164002,57.4804499981452,2
rolling_chomp,r6,grouped,3,27,12,29.304029304029303,28.59959164240752,71.04532413868367,2
rolling_chomp,r6,mixed,3,41,15,35.38461538461539,21.317548400847723,52.955725903952526,3
rolling_chomp,r6,random,4,40,4,7.44047619047619,5.862415358211966,9.328411048391695,3
