curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r2 (n=3),0.0,0.0,0.0,0.0,3
original r2 (n=3),1.0,0.0,0.0,0.0,3
original r2 (n=3),2.0,0.0,0.0,0.0,3
original r2 (n=3),3.0,0.0,0.0,0.0,3
original r2 (n=3),4.0,0.0,0.0,0.0,3
original r2 (n=3),5.0,0.0,0.0,0.0,3
original r2 (n=3),6.0,0.0,0.0,0.0,3
original r2 (n=3),7.0,0.0,0.0,0.0,3
original r2 (n=3),8.0,0.0,0.0,0.0,3
original r2 (n=3),9.0,0.0,0.0,0.0,3
original r2 (n=3),10.0,0.0,0.0,0.0,3
original r2 (n=3),11.0,0.0,0.0,0.0,3
original r2 (n=3),12.0,0.0,0.0,0.0,3
original r2 (n=3),13.0,0.3333333333333333,-1.1008842432320476,1.767550909898714,3
original r2 (n=3),14.0,0.3395061728395062,-1.1212709884770855,1.8002833341560978,3
original r2 (n=3),15.0,0.345679012345679,-1.141657733722123,1.833015758413481,3
original r2 (n=3),16.0,0.35185185185185186,-1.1620444789671613,1.865748182670865,3
original r2 (n=3),17.0,0.35802469135802467,-1.1824312242121986,1.898480606928248,3
original r2 (n=3),18.0,0.36419753086419754,-1.202817969457237,1.9312130311856321,3
original r2 (n=3),19.0,0.3703703703703704,-1.2232047147022749,1.9639454554430158,3
original r2 (n=3),20.0,0.37654320987654316,-1.2435914599473128,1.996677879700399,3
original r2 (n=3),21.0,0.38271604938271603,-1.263978205192351,2.029410303957783,3
original r2 (n=3),22.0,0.3888888888888889,-1.2843649504373889,2.0621427282151665,3
original r2 (n=3),23.0,0.3950617283950617,-1.3047516956824265,2.09487515247255,3
original r2 (n=3),24.0,0.4012345679012346,-1.3251384409274645,2.1276075767299334,3
original r2 (n=3),25.0,0.40740740740740744,-1.3455251861725026,2.1603400009873175,3
original r2 (n=3),26.0,0.41358024691358025,-1.36591193141754,2.1930724252447007,3
original r2 (n=3),27.0,0.4197530864197531,-1.386298676662578,2.2258048495020843,3
original r2 (n=3),28.0,0.4259259259259259,-1.406685421907616,2.2585372737594676,3
original r2 (n=3),29.0,0.43209876543209874,-1.427072167152654,2.2912696980168517,3
original r2 (n=3),30.0,0.4382716049382716,-1.4474589123976922,2.3240021222742353,3
original r2 (n=3),31.0,0.4444444444444444,-1.46784565764273,2.3567345465316185,3
original r2 (n=3),32.0,0.4506172839506173,-1.4882324028877674,2.3894669707890017,3
original r2 (n=3),33.0,0.4567901234567901,-1.5086191481328055,2.422199395046386,3
original r2 (n=3),34.0,0.7962962962962963,-0.9835922496036851,2.5761848421962776,3
original r2 (n=3),35.0,1.1491358024691358,0.591292457065013,1.7069791478732586,3
original r2 (n=3),36.0,1.2519753086419754,0.8222904754020918,1.681660141881859,3
original r2 (n=3),37.0,1.354814814814815,0.8449604340698815,1.8646691955597483,3
original r2 (n=3),38.0,1.4576543209876542,0.72474470926401,2.1905639327112985,3
original r2 (n=3),39.0,1.560493827160494,0.5524045036912411,2.568583150629747,3
original r2 (n=3),40.0,1.6633333333333333,0.3605615785841836,2.9661050880824833,3
original r2 (n=3),41.0,1.7661728395061729,0.15991414876070276,3.372431530251643,3
original r2 (n=3),42.0,1.8690123456790124,-0.045354989490028474,3.7833796808480535,3
original r2 (n=3),43.0,1.9718518518518515,-0.25332683357383057,4.197030537277533,3
original r2 (n=3),44.0,2.3246913580246917,-1.285923743565164,5.935306459614548,3
original r2 (n=3),45.0,2.349847248378322,-1.2416374873500708,5.941331984106714,3
