curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),0.0,0.0,0.0,0.0,3
original r6 (n=3),1.0,0.0,0.0,0.0,3
original r6 (n=3),2.0,0.0,0.0,0.0,3
original r6 (n=3),3.0,0.0,0.0,0.0,3
original r6 (n=3),4.0,0.0,0.0,0.0,3
original r6 (n=3),5.0,0.0,0.0,0.0,3
original r6 (n=3),6.0,0.0,0.0,0.0,3
original r6 (n=3),7.0,0.0,0.0,0.0,3
original r6 (n=3),8.0,0.0,0.0,0.0,3
original r6 (n=3),9.0,0.0,0.0,0.0,3
original r6 (n=3),10.0,0.0,0.0,0.0,3
original r6 (n=3),11.0,0.0,0.0,0.0,3
original r6 (n=3),12.0,0.0,0.0,0.0,3
original r6 (n=3),13.0,0.0,0.0,0.0,3
original r6 (n=3),14.0,0.0,0.0,0.0,3
original r6 (n=3),15.0,0.0,0.0,0.0,3
original r6 (n=3),16.0,0.0,0.0,0.0,3
original r6 (n=3),17.0,0.0,0.0,0.0,3
original r6 (n=3),18.0,0.0,0.0,0.0,3
original r6 (n=3),19.0,0.0,0.0,0.0,3
original r6 (n=3),20.0,0.0,0.0,0.0,3
original r6 (n=3),21.0,0.0,0.0,0.0,3
original r6 (n=3),22.0,0.0,0.0,0.0,3
original r6 (n=3),23.0,0.0,0.0,0.0,3
original r6 (n=3),24.0,0.0,0.0,0.0,3
original r6 (n=3),25.0,0.0,0.0,0.0,3
original r6 (n=3),26.0,0.0,0.0,0.0,3
original r6 (n=3),27.0,0.0,0.0,0.0,3
original r6 (n=3),28.0,0.0,0.0,0.0,3
original r6 (n=3),29.0,0.0,0.0,0.0,3
original r6 (n=3),30.0,0.0,0.0,0.0,3
original r6 (n=3),31.0,0.0,0.0,0.0,3
original r6 (n=3),32.0,0.0,0.0,0.0,3
original r6 (n=3),33.0,0.0,0.0,0.0,3
original r6 (n=3),34.0,0.0,0.0,0.0,3
original r6 (n=3),35.0,0.0,0.0,0.0,3
original r6 (n=3),36.0,0.0,0.0,0.0,3
original r6 (n=3),37.0,0.0,0.0,0.0,3
original r6 (n=3),38.0,0.0,0.0,0.0,3
original r6 (n=3),39.0,0.0,0.0,0.0,3
original r6 (n=3),40.0,0.3333333333333333,-1.1008842432320476,1.767550909898714,3
original r6 (n=3),41.0,0.4166666666666667,-1.3761053040400588,2.2094386373733923,3
original r6 (n=3),42.0,0.5,-1.651326364848071,2.651326364848071,3
original r6 (n=3),43.0,0.5833333333333334,-1.926547425656083,3.09321409232275,3
original r6 (n=3),44.0,0.6666666666666666,-2.201768486464095,3.535101819797428,3
original r6 (n=3),45.0,0.75,-2.476989547272107,3.976989547272107,3
original r6 (n=3),46.0,1.1666666666666667,-1.9591380729824854,4.292471406315819,3
original r6 (n=3),47.0,1.2675438596491226,-2.179294982740166,4.714382702038412,3
original r6 (n=3),48.0,1.3684210526315788,-2.40054806435202,5.137390169615177,3
original r6 (n=3),49.0,1.4116059379217276,-2.4489238465677396,5.272135722411194,3
original r6 (n=3),50.0,1.4547908232118758,-2.4975926969909388,5.407174343414691,3
