algo,fleet,scenario,seed,run_ts,completed_at_deadline,completed_total,n_assigned,collision_tasks,collision_rate_pct,mean_task_duration_sec,makespan_sec
multi_chomp,r2,grouped,15,20260916_085832,9,9,11,2,22.22222222222222,53.666666666666664,259.0
multi_chomp,r2,grouped,42,20260916_084835,10,10,12,0,0.0,48.6,278.0
multi_chomp,r2,grouped,7,20260916_103940,5,5,7,1,20.0,56.0,211.0
multi_chomp,r4,grouped,15,20260916_060035,13,13,15,6,46.15384615384615,52.84615384615385,258.0
multi_chomp,r4,grouped,42,20260916_071152,13,13,15,7,53.84615384615385,66.76923076923077,292.0
multi_chomp,r4,grouped,7,20260916_065705,10,10,14,7,70.0,73.2,266.0
multi_chomp,r6,dynamic,15,20260918_064834,8,8,14,1,12.5,44.125,187.0
multi_chomp,r6,dynamic,42,20260918_124903,9,9,15,3,33.33333333333333,87.66666666666667,240.0
multi_chomp,r6,dynamic,7,20260918_124215,9,9,15,4,44.44444444444444,110.11,247.99
multi_chomp,r6,grouped,15,20260915_054841,10,10,14,2,20.0,90.103,209.0
multi_chomp,r6,grouped,42,20260915_045648,10,10,15,4,40.0,80.401,266.01
multi_chomp,r6,grouped,7,20260915_053407,7,7,13,2,28.57142857142857,116.57000000000001,217.0
multi_chomp,r6,mixed,15,20260915_030339,14,14,15,4,28.57142857142857,65.71428571428571,251.0
multi_chomp,r6,mixed,42,20260915_043011,9,9,15,3,33.33333333333333,77.88888888888889,211.0
multi_chomp,r6,mixed,7,20260915_032057,11,11,15,5,45.45454545454545,81.81818181818181,243.0
multi_chomp,r6,random,15,20260914_140147,15,15,15,4,26.666666666666668,50.2,200.0
multi_chomp,r6,random,42,20260914_112709,12,12,15,0,0.0,53.333333333333336,230.0
multi_chomp,r6,random,7,20260914_124936,13,13,15,5,38.46153846153847,73.07692307692308,243.0
rolling_chomp,r2,grouped,15,20260916_091311,9,9,11,3,33.33333333333333,50.77777777777778,275.0
rolling_chomp,r2,grouped,42,20260916_100139,8,8,10,0,0.0,48.125,284.0
rolling_chomp,r2,grouped,7,20260916_104550,7,7,9,2,28.57142857142857,62.0,253.0
rolling_chomp,r4,grouped,15,20260916_064128,9,9,11,4,44.44444444444444,59.666666666666664,251.0
rolling_chomp,r4,grouped,42,20260916_072158,15,15,15,7,46.666666666666664,58.333333333333336,245.0
rolling_chomp,r4,grouped,7,20260916_063447,14,14,15,9,64.28571428571429,70.5,283.0
rolling_chomp,r6,dynamic,15,20260918_140655,15,15,15,4,26.666666666666668,50.466,209.0
rolling_chomp,r6,dynamic,42,20260918_135848,14,14,15,5,35.714285714285715,56.642857142857146,197.0
rolling_chomp,r6,grouped,15,20260915_060205,0,0,5,0,0.0,,
rolling_chomp,r6,grouped,42,20260915_050758,14,14,15,8,57.14285714285714,80.0,276.0
rolling_chomp,r6,grouped,7,20260915_052552,13,13,15,4,30.76923076923077,75.46153846153847,242.0
rolling_chomp,r6,mixed,15,20260915_031228,13,13,15,3,23.076923076923077,37.84615384615385,163.0
rolling_chomp,r6,mixed,42,20260915_033748,13,13,15,3,23.076923076923077,42.23076923076923,196.0
rolling_chomp,r6,mixed,7,20260915_032717,15,15,15,9,60.0,51.13333333333333,165.0
rolling_chomp,r6,random,15,20260914_141007,14,14,15,1,7.142857142857142,33.642857142857146,140.0
rolling_chomp,r6,random,42,20260914_123044,0,0,6,0,0.0,,
rolling_chomp,r6,random,42,20260914_123348,12,12,15,1,8.333333333333332,41.5825,170.0
rolling_chomp,r6,random,7,20260914_124309,14,14,15,2,14.285714285714285,53.57142857142857,227.0
