event,algo,fleet,scenario,seed,run_ts,n_cycles,cycle_time_mean,cycle_time_median,cycle_time_p95,cycle_time_max,iterations_budget_mean,iterations_executed_mean,round_trip_mean,total_compute_time
CHOMP_TIME_FULL,multi_chomp,r2,grouped,15,20260916_085832,66,1.1385303030303033,1.1324999999999998,1.1997499999999999,1.208,100.0,97.31818181818181,1.1466996060606058,75.14300000000001
CHOMP_TIME_FULL,multi_chomp,r2,grouped,42,20260916_084835,64,1.1462343750000001,1.1469999999999998,1.2198499999999999,1.23,100.0,95.65625,1.15463628125,73.35900000000001
CHOMP_TIME_FULL,multi_chomp,r2,grouped,7,20260916_103940,74,1.1822972972972974,1.1995,1.2461,1.278,100.0,97.97297297297297,1.1907036216216218,87.49000000000001
CHOMP_TIME_FULL,multi_chomp,r4,grouped,15,20260916_060034,27,7.493592592592593,7.477,7.6569,7.741,100.0,100.0,7.506854777777778,202.32700000000003
CHOMP_TIME_FULL,multi_chomp,r4,grouped,42,20260916_071151,24,7.598916666666668,7.596,7.70955,7.719,100.0,100.0,7.613460416666666,182.37400000000002
CHOMP_TIME_FULL,multi_chomp,r4,grouped,7,20260916_065705,20,7.488749999999999,7.544499999999999,7.70115,7.723,100.0,95.7,7.503062250000001,149.77499999999998
CHOMP_TIME_FULL,multi_chomp,r6,dynamic,15,20260918_064834,8,32.111375,32.1225,32.876549999999995,32.977,100.0,100.0,32.14243625,256.891
CHOMP_TIME_FULL,multi_chomp,r6,dynamic,42,20260918_124903,11,24.948454545454545,24.755,25.619,25.97,100.0,100.0,24.97045127272727,274.433
CHOMP_TIME_FULL,multi_chomp,r6,dynamic,7,20260918_124214,11,25.09336363636364,25.065,25.432000000000002,25.456,100.0,100.0,25.11680518181818,276.02700000000004
CHOMP_TIME_FULL,multi_chomp,r6,grouped,15,20260915_054841,8,33.76575,34.0025,34.67655,34.742,100.0,92.125,33.806434875,270.126
CHOMP_TIME_FULL,multi_chomp,r6,grouped,42,20260915_045648,10,26.2752,26.305,26.921799999999998,27.208,100.0,100.0,26.299722100000004,262.752
CHOMP_TIME_FULL,multi_chomp,r6,grouped,7,20260915_053407,8,33.826750000000004,33.952,34.48925,34.54,100.0,100.0,33.863160875,270.61400000000003
