event,algo,fleet,scenario,n_runs,n_cycles_total,cycle_time_mean_of_run_means,cycle_time_std_across_runs,cycle_time_ci95,cycle_time_median_pooled,cycle_time_p95_pooled,cycle_time_max_pooled,iterations_budget_mean,iterations_executed_mean,round_trip_mean,total_compute_time_mean
CHOMP_TIME_FULL,multi_chomp,r2,grouped,3,204,1.1556873251092004,0.02336463451708677,0.05804096972443945,1.1469999999999998,1.2461,1.278,100.0,96.98246826371826,1.1640131696440759,78.664
CHOMP_TIME_FULL,multi_chomp,r4,grouped,3,71,7.527086419753086,0.06225392320572243,0.15464731833782763,7.544499999999999,7.70955,7.741,100.0,98.56666666666666,7.541125814814815,178.15866666666668
CHOMP_TIME_FULL,multi_chomp,r6,dynamic,3,30,27.384397727272727,4.094323541663159,10.170863513826587,25.065,32.876549999999995,32.977,100.0,100.0,27.40989756818182,269.117
CHOMP_TIME_FULL,multi_chomp,r6,grouped,3,26,31.289233333333332,4.3423873561479205,10.787088190301182,33.952,34.67655,34.742,100.0,97.375,31.323105950000002,267.8306666666667
CHOMP_TIME_FULL,multi_chomp,r6,mixed,3,31,26.180878787878786,0.2161820539285586,0.537025992760921,26.153,27.10155,27.336,100.0,99.66666666666667,26.204040503030303,270.47
CHOMP_TIME_FULL,multi_chomp,r6,random,3,31,25.36041818181818,0.5048659958038476,1.2541566595411797,25.121000000000002,26.496100000000002,26.497,100.0,97.39393939393939,25.382614906060606,261.92733333333337
CHOMP_TIME_FULL,rolling_chomp,r2,grouped,3,48,0.6889538011695907,0.06529891659330155,0.16221150124384956,0.946,1.0056,1.025,100.0,71.30659983291561,0.7005555705096075,11.022
CHOMP_TIME_FULL,rolling_chomp,r4,grouped,3,79,3.425476142473118,0.2470280608486771,0.6136517218071494,3.6475,3.9015,3.939,100.0,93.76545698924731,3.445652400201613,91.67033333333332
CHOMP_TIME_FULL,rolling_chomp,r6,dynamic,2,117,0.20105263157894737,0.0051110174359449,0.04592066974921099,0.20400000000000001,0.2352,0.249,100.0,97.80701754385964,0.2337661447368421,11.767
CHOMP_TIME_FULL,rolling_chomp,r6,grouped,2,82,4.252060975609757,0.128331257531929,1.1530106029730611,4.334,4.711,5.016,100.0,97.52439024390245,4.277135243902439,174.3345
CHOMP_TIME_FULL,rolling_chomp,r6,mixed,3,134,4.386941175791176,0.4112605196093076,1.0216277661028568,4.257,6.7006,6.867,100.0,91.9065065065065,4.413298114168014,194.11733333333336
CHOMP_TIME_FULL,rolling_chomp,r6,random,4,145,6.494692284177059,3.8523863637202775,6.130006374874537,5.9595,12.1592,12.212,100.0,91.24647335423198,6.529956771665665,159.73175
CHOMP_TIME_PARTIAL,rolling_chomp,r2,grouped,3,1620,0.09446649895178195,0.0009664281209155495,0.0024007405408325733,0.095,0.102,0.165,10.0,10.0,0.1030831838483366,51.013
CHOMP_TIME_PARTIAL,rolling_chomp,r4,grouped,3,970,0.3797953114847361,0.011440272167106184,0.028419211522643966,0.378,0.42729999999999996,0.475,10.0,10.0,0.3962648923978116,122.28533333333333
CHOMP_TIME_PARTIAL,rolling_chomp,r6,dynamic,2,809,0.022453479664616555,0.00029711696566926904,0.002669490023929798,0.021,0.034,0.062,10.0,10.0,0.05018239390981966,9.088
CHOMP_TIME_PARTIAL,rolling_chomp,r6,grouped,2,197,0.4613458177278402,0.0012747343221390934,0.011453033482776934,0.4525,0.5378,0.73,10.0,10.0,0.4814385082188931,45.434000000000005
CHOMP_TIME_PARTIAL,rolling_chomp,r6,mixed,3,147,0.5169448273273273,0.11017128985038095,0.2736806558661162,0.473,0.749,0.817,10.0,10.0,0.5390641899774775,24.99066666666667
CHOMP_TIME_PARTIAL,rolling_chomp,r6,random,3,124,0.5905499943826537,0.27826597191939234,0.6912509947332547,0.439,1.0346,1.064,10.0,10.0,0.613499828041793,19.97666666666667
