algo,fleet,scenario,seed,run_ts,n_cycles,total_compute_time,total_iterations_executed,mean_cycle_time
multi_chomp,r2,grouped,15,20260916_085832,66,75.14300000000001,6423.0,1.1385303030303033
multi_chomp,r2,grouped,42,20260916_084835,64,73.35899999999998,6122.0,1.1462343750000001
multi_chomp,r2,grouped,7,20260916_103940,74,87.49,7250.0,1.1822972972972974
multi_chomp,r4,grouped,15,20260916_060034,27,202.327,2700.0,7.493592592592593
multi_chomp,r4,grouped,42,20260916_071151,24,182.37399999999997,2400.0,7.598916666666668
multi_chomp,r4,grouped,7,20260916_065705,20,149.77499999999998,1914.0,7.488749999999999
multi_chomp,r6,dynamic,15,20260918_064834,8,256.89099999999996,800.0,32.111375
multi_chomp,r6,dynamic,42,20260918_124903,11,274.433,1100.0,24.948454545454545
multi_chomp,r6,dynamic,7,20260918_124214,11,276.02700000000004,1100.0,25.09336363636364
multi_chomp,r6,grouped,15,20260915_054841,8,270.126,737.0,33.76575
multi_chomp,r6,grouped,42,20260915_045648,10,262.75199999999995,1000.0,26.2752
multi_chomp,r6,grouped,7,20260915_053407,8,270.61400000000003,800.0,33.826750000000004
multi_chomp,r6,mixed,15,20260915_030338,10,261.47,1000.0,26.147000000000002
multi_chomp,r6,mixed,42,20260915_043011,10,264.12,990.0,26.412
multi_chomp,r6,mixed,7,20260915_032058,11,285.82000000000005,1100.0,25.983636363636368
multi_chomp,r6,random,15,20260914_140146,10,259.30400000000003,1000.0,25.930400000000002
multi_chomp,r6,random,42,20260914_112709,11,274.664,1014.0,24.969454545454543
multi_chomp,r6,random,7,20260914_124936,10,251.814,1000.0,25.1814
rolling_chomp,r2,grouped,15,20260916_091311,554,59.27300000000016,6330.0,0.10699097472924186
rolling_chomp,r2,grouped,42,20260916_100139,549,63.07600000000004,6614.0,0.11489253187613842
rolling_chomp,r2,grouped,7,20260916_104550,565,63.75599999999995,6675.0,0.11284247787610618
rolling_chomp,r4,grouped,15,20260916_064128,439,206.363,5646.0,0.4700751708428246
rolling_chomp,r4,grouped,42,20260916_072157,309,219.9920000000001,5740.0,0.711948220064725
rolling_chomp,r4,grouped,7,20260916_063446,301,215.51200000000017,5804.0,0.7159867109634551
rolling_chomp,r6,dynamic,15,20260918_140653,438,20.687999999999978,9780.0,0.04723287671232877
rolling_chomp,r6,dynamic,42,20260918_135848,488,21.021999999999935,9760.0,0.043077868852459025
rolling_chomp,r6,grouped,42,20260915_050758,149,220.3419999999999,5012.0,1.4788053691275167
rolling_chomp,r6,grouped,7,20260915_052553,130,219.1949999999999,4955.0,1.6861153846153842
rolling_chomp,r6,mixed,15,20260915_031227,85,210.73300000000006,3340.0,2.4792117647058824
rolling_chomp,r6,mixed,42,20260915_033748,77,227.27300000000005,5450.0,2.9515974025974026
rolling_chomp,r6,mixed,7,20260915_032717,119,219.31799999999996,5169.0,1.843008403361344
rolling_chomp,r6,random,15,20260914_141006,44,219.78200000000004,2666.0,4.995045454545455
rolling_chomp,r6,random,42,20260914_123044,3,35.053,300.0,11.684333333333333
rolling_chomp,r6,random,42,20260914_123348,89,218.41000000000005,5393.0,2.4540449438202248
rolling_chomp,r6,random,7,20260914_124309,133,225.61199999999988,5560.0,1.6963308270676691
