algorithm,elapsed_sec,overall_min_distance
original,0.0,6.49
original,1.0,6.49
original,2.0,6.49
original,3.0,6.49
original,4.0,6.49
original,5.0,6.49
original,6.0,6.49
original,7.0,6.49
original,8.0,6.49
original,9.0,6.49
original,10.0,6.49
original,11.0,6.49
original,12.0,6.49
original,13.0,6.49
original,14.0,6.49
original,15.0,6.49
original,16.0,6.49
original,17.0,6.49
original,18.0,6.49
original,19.0,6.49
original,20.0,6.49
original,21.0,6.49
original,22.0,6.49
original,23.0,6.49
original,24.0,6.49
original,25.0,6.49
original,26.0,6.49
original,27.0,6.49
original,28.0,6.49
original,29.0,6.433
original,30.0,6.241
original,31.0,6.138
original,32.0,5.838
original,33.0,5.328
original,34.0,4.941
original,35.0,4.579
original,36.0,3.965
original,37.0,3.3
original,38.0,2.78
original,39.0,2.405
original,40.0,2.177
original,41.0,2.1
original,42.0,2.164
original,43.0,2.241
original,44.0,2.346
original,45.0,2.487
original,46.0,2.682
original,47.0,2.943
original,48.0,3.207
original,49.0,3.495
original,50.0,3.83
original,51.0,4.118
original,52.0,4.396
original,53.0,4.711
original,54.0,5.012
original,55.0,5.357
original,56.0,5.739
original,57.0,5.901
original,58.0,5.912
original,59.0,5.912
original,60.0,5.912
original,61.0,5.912
original,62.0,5.912
original,63.0,5.912
original,64.0,5.913
original,65.0,5.913
original,66.0,5.913
original,67.0,5.913
original,68.0,5.913
original,69.0,5.913
original,70.0,5.913
original,71.0,5.914
original,72.0,5.914
original,73.0,5.914
original,74.0,5.914
original,75.0,5.914
original,76.0,5.914
original,77.0,5.914
original,78.0,5.914
original,79.0,5.915
original,80.0,5.915
original,81.0,5.915
original,82.0,5.915
original,83.0,5.915
original,84.0,5.915
original,85.0,5.915
original,86.0,6.045
original,87.0,6.439
original,88.0,6.879
original,89.0,7.519
original,90.0,8.182
original,91.0,8.755
original,92.0,9.235
original,93.0,9.505
original,94.0,9.418
original,95.0,9.103
original,96.0,8.78
original,97.0,8.396
original,98.0,7.949
original,99.0,7.394
original,100.0,6.876
original,101.0,6.417
original,102.0,5.947
original,103.0,5.474
original,104.0,5.081
original,105.0,4.699
original,106.0,4.273
original,107.0,3.851
original,108.0,3.442
original,109.0,3.016
