algorithm,elapsed_sec,overall_min_distance
original,0.0,6.49
original,1.0,6.49
original,2.0,6.49
original,3.0,6.49
original,4.0,6.49
original,5.0,6.49
original,6.0,6.49
original,7.0,6.49
original,8.0,6.49
original,9.0,6.49
original,10.0,6.49
original,11.0,6.49
original,12.0,6.49
original,13.0,6.49
original,14.0,6.49
original,15.0,6.49
original,16.0,6.49
original,17.0,6.49
original,18.0,6.49
original,19.0,6.49
original,20.0,6.49
original,21.0,6.49
original,22.0,6.49
original,23.0,6.49
original,24.0,6.49
original,25.0,6.49
original,26.0,6.49
original,27.0,6.49
original,28.0,6.49
original,29.0,6.49
original,30.0,6.49
original,31.0,6.49
original,32.0,6.49
original,33.0,6.49
original,34.0,6.49
original,35.0,6.49
original,36.0,6.49
original,37.0,6.49
original,38.0,6.49
original,39.0,6.49
original,40.0,6.49
original,41.0,6.49
original,42.0,6.49
original,43.0,6.49
original,44.0,6.49
original,45.0,6.49
original,46.0,6.49
original,47.0,6.49
original,48.0,6.49
original,49.0,6.49
original,50.0,6.49
original,51.0,6.49
original,52.0,6.49
original,53.0,6.49
original,54.0,6.45
original,55.0,6.326
original,56.0,6.031
original,57.0,5.46
original,58.0,4.943
original,59.0,4.543
original,60.0,4.151
original,61.0,3.647
original,62.0,3.246
original,63.0,2.947
original,64.0,2.743
original,65.0,2.609
original,66.0,2.554
original,67.0,2.567
original,68.0,2.615
original,69.0,2.716
original,70.0,2.87
original,71.0,3.077
original,72.0,3.321
original,73.0,3.56
original,74.0,3.874
original,75.0,3.818
original,76.0,3.412
original,77.0,3.012
original,78.0,2.643
original,79.0,2.288
original,80.0,2.008
original,81.0,1.755
original,82.0,1.545
original,83.0,1.4
original,84.0,1.297
original,85.0,1.304
original,86.0,1.304
original,87.0,1.304
original,88.0,1.304
original,89.0,1.304
original,90.0,1.304
original,91.0,1.304
original,92.0,1.304
original,93.0,1.304
original,94.0,1.304
original,95.0,1.304
original,96.0,1.304
original,97.0,1.304
original,98.0,1.304
original,99.0,1.304
original,100.0,1.304
original,101.0,1.304
original,102.0,1.304
original,103.0,1.304
original,104.0,1.304
original,105.0,1.304
original,106.0,1.272
original,107.0,1.127
original,108.0,0.804
original,109.0,0.618
