setup,elapsed_sec,completed_tasks,task_id,robot_id,timestamp
Original r2,99.0,1,task_002,robot_1,119.0
Original r2,165.0,2,task_007,robot_1,185.0
Original r2,227.0,3,task_008,robot_1,247.0
Original r2,271.0,4,task_013,robot_1,291.0
Original r4,73.0,1,task_003,robot_1,97.0
Original r4,130.0,2,task_005,robot_4,154.0
Original r4,132.0,3,task_002,robot_3,156.0
Original r4,134.0,4,task_012,robot_4,158.0
Original r4,152.0,5,task_007,robot_1,176.0
Original r4,232.0,6,task_006,robot_1,256.0
Original r4,236.0,7,task_009,robot_1,260.0
Original r4,246.0,8,task_013,robot_4,270.0
Original r4,271.0,9,task_008,robot_3,295.0
Original r4,275.0,10,task_010,robot_3,299.0
Original r6,81.0,1,task_003,robot_5,121.0
Original r6,86.0,2,task_005,robot_1,126.0
Original r6,90.0,3,task_012,robot_1,130.0
Original r6,159.0,4,task_001,robot_2,199.0
Original r6,179.0,5,task_007,robot_4,219.0
Original r6,243.0,6,task_002,robot_6,283.0
Original r6,267.0,7,task_010,robot_4,307.0
Ours r2,46.0,1,task_001,robot_2,93.0
Ours r2,85.0,2,task_002,robot_1,132.0
Ours r2,103.0,3,task_007,robot_2,150.0
Ours r2,107.0,4,task_012,robot_2,154.0
Ours r2,165.0,5,task_008,robot_1,212.0
Ours r2,246.0,6,task_006,robot_1,293.0
Ours r4,56.0,1,task_001,robot_2,424.0
Ours r4,66.0,2,task_003,robot_1,434.0
Ours r4,92.0,3,task_002,robot_3,460.0
Ours r4,115.0,4,task_007,robot_2,483.0
Ours r4,116.0,5,task_005,robot_4,484.0
Ours r4,152.0,6,task_012,robot_3,520.0
Ours r4,183.0,7,task_008,robot_1,551.0
Ours r4,183.0,8,task_006,robot_2,551.0
Ours r4,187.0,9,task_010,robot_1,555.0
Ours r4,207.0,10,task_013,robot_4,575.0
Ours r4,219.0,11,task_009,robot_3,587.0
Ours r4,239.0,12,task_015,robot_1,607.0
Ours r4,269.0,13,task_011,robot_2,637.0
Ours r6,53.0,1,task_003,robot_5,103.0
Ours r6,57.0,2,task_005,robot_1,107.0
Ours r6,61.0,3,task_012,robot_1,111.0
Ours r6,100.0,4,task_002,robot_6,150.0
Ours r6,115.0,5,task_001,robot_2,165.0
Ours r6,135.0,6,task_007,robot_4,185.0
Ours r6,150.0,7,task_015,robot_4,200.0
Ours r6,160.0,8,task_010,robot_2,210.0
Ours r6,164.0,9,task_014,robot_2,214.0
Ours r6,177.0,10,task_013,robot_6,227.0
Ours r6,221.0,11,task_004,robot_2,271.0
Ours r6,255.0,12,task_011,robot_4,305.0
Ours r6,266.0,13,task_008,robot_5,316.0
