timestamp,run_id,task_id,robot_id,event,status,allocation_cost,duration,path,collision_flag,message
75.000,ours,task_001,robot_1,ASSIGNED,OK,13.356,,stationa2,0,Task assigned to robot
77.000,ours,task_002,robot_6,ASSIGNED,OK,7.616,,stationc3,0,Task assigned to robot
80.000,ours,task_003,robot_5,ASSIGNED,OK,11.981,,stationc1,0,Task assigned to robot
81.000,ours,task_004,robot_2,ASSIGNED,OK,23.456,,stationa4,0,Task assigned to robot
82.000,ours,task_005,robot_3,ASSIGNED,OK,21.183,,stationc2,0,Task assigned to robot
85.000,ours,task_006,robot_4,ASSIGNED,OK,18.924,,stationb1,0,Task assigned to robot
107.000,ours,task_002,robot_6,COMPLETED,OK,7.616,30.000,stationc3,0,Task executed successfully
107.000,ours,task_008,robot_6,ASSIGNED,OK,25.111,,stationa1,0,Task assigned to robot
117.000,ours,task_003,robot_5,COMPLETED,OK,11.981,37.000,stationc1,0,Task executed successfully
117.000,ours,task_013,robot_5,ASSIGNED,OK,15.957,,stationb2,0,Task assigned to robot
124.000,ours,task_001,robot_1,COMPLETED,OK,13.356,49.000,stationa2,0,Task executed successfully
144.000,ours,task_004,robot_2,COMPLETED,OK,23.456,63.000,stationa4,0,Task executed successfully
145.000,ours,task_005,robot_3,COMPLETED,OK,21.183,63.000,stationc2,0,Task executed successfully
149.000,ours,task_006,robot_4,COMPLETED,OK,18.924,64.000,stationb1,1,Task executed successfully
149.000,ours,task_015,robot_4,ASSIGNED,OK,46.261,,stationa3->stationb1,0,Task assigned to robot
153.000,ours,park_1,robot_1,COMPLETED,OK,0.000,29.000,stationp1,0,Task executed successfully
158.000,ours,task_013,robot_5,COMPLETED,OK,15.957,41.000,stationb2,1,Task executed successfully
163.000,ours,task_008,robot_6,COMPLETED,OK,25.111,56.000,stationa1,0,Task executed successfully
182.000,ours,park_2,robot_2,COMPLETED,OK,0.000,38.000,stationp2,0,Task executed successfully
199.000,ours,park_6,robot_6,COMPLETED,OK,0.000,36.000,stationp6,0,Task executed successfully
